date,day,off,id,item_id,name,price,high,low,open,time,updated_at
1399-12-23,Sat,0,58210053,137203,price_dollar_rl,241770,243850,241770,242400,2021-03-13 00:00:00,2021-03-14 00:03:53
1399-12-24,Sun,0,58218328,137203,price_dollar_rl,239170,241880,239100,241810,2021-03-14 00:00:00,2021-03-15 00:02:13
1399-12-25,Mon,0,58227390,137203,price_dollar_rl,239170,239210,239100,239200,2021-03-15 00:00:00,2021-03-16 00:04:00
1399-12-26,Tue,0,58307727,137203,price_dollar_rl,240890,241380,239100,239200,2021-03-16 00:00:00,2021-03-17 00:03:46
1399-12-27,Wed,0,58328979,137203,price_dollar_rl,240400,240950,240320,240920,2021-03-17 00:00:00,2021-03-18 00:02:59
1399-12-28,Thu,0,58399386,137203,price_dollar_rl,239630,240430,239550,240410,2021-03-18 00:00:00,2021-03-19 00:04:52
1399-12-29,Fri,0,58399386,137203,price_dollar_rl,239630,240430,239550,240410,2021-03-18 00:00:00,2021-03-19 00:04:52
1399-12-30,Sat,0,58399386,137203,price_dollar_rl,239630,240430,239550,240410,2021-03-18 00:00:00,2021-03-19 00:04:52
1400-01-01,Sun,0,58399386,137203,price_dollar_rl,239630,240430,239550,240410,2021-03-18 00:00:00,2021-03-19 00:04:52
1400-01-02,Mon,0,58399386,137203,price_dollar_rl,239630,240430,239550,240410,2021-03-18 00:00:00,2021-03-19 00:04:52
1400-01-03,Tue,0,58863480,137203,price_dollar_rl,247560,247580,239550,239640,2021-03-27 00:00:00,2021-03-28 00:03:39
1400-01-04,Wed,0,58863480,137203,price_dollar_rl,247560,247580,239550,239640,2021-03-27 00:00:00,2021-03-28 00:03:39
1400-01-05,Thu,0,58863480,137203,price_dollar_rl,247560,247580,239550,239640,2021-03-27 00:00:00,2021-03-28 00:03:39
1400-01-06,Fri,0,58863480,137203,price_dollar_rl,247560,247580,239550,239640,2021-03-27 00:00:00,2021-03-28 00:03:39
1400-01-07,Sat,0,58863480,137203,price_dollar_rl,247560,247580,239550,239640,2021-03-27 00:00:00,2021-03-28 00:03:39
1400-01-08,Sun,0,58866166,137203,price_dollar_rl,252330,252350,247470,247510,2021-03-28 00:00:00,2021-03-29 00:01:40
1400-01-09,Mon,0,58950663,137203,price_dollar_rl,252540,257120,252240,252340,2021-03-30 00:00:00,2021-03-31 00:04:59
1400-01-10,Tue,0,58950663,137203,price_dollar_rl,252540,257120,252240,252340,2021-03-30 00:00:00,2021-03-31 00:04:59
